rebalance_date,ticker,weight,fund
2023-08-01,TTWO,3.0415659446655104e-17,equity_max_sharpe
2023-09-01,TTWO,0.0,equity_max_sharpe
2023-10-02,TTWO,5.5237268976776646e-17,equity_max_sharpe
2023-11-01,TTWO,1.713749622607374e-17,equity_max_sharpe
2023-12-01,TTWO,0.06356569749376442,equity_max_sharpe
2021-01-04,UPS,0.10678554495619805,equity_max_sharpe
2021-02-01,UPS,0.10876627931107942,equity_max_sharpe
2021-03-01,UPS,0.28328664123965797,equity_max_sharpe
2021-04-01,UPS,0.08883854094593018,equity_max_sharpe
2021-05-03,UPS,0.184183669313414,equity_max_sharpe
2021-06-01,UPS,0.209614748944775,equity_max_sharpe
2021-07-01,UPS,0.08705201550627142,equity_max_sharpe
2021-08-02,UPS,0.0,equity_max_sharpe
2021-09-01,UPS,0.0,equity_max_sharpe
2021-10-01,UPS,0.0,equity_max_sharpe
2021-11-01,UPS,2.1696702432214184e-18,equity_max_sharpe
2021-12-01,UPS,0.0,equity_max_sharpe
2022-01-03,UPS,8.828753195112941e-18,equity_max_sharpe
2022-02-01,UPS,2.8082524541362895e-18,equity_max_sharpe
2022-03-01,UPS,7.626209623980379e-17,equity_max_sharpe
2022-04-01,UPS,5.208534462941597e-18,equity_max_sharpe
2022-05-02,UPS,3.366970783422356e-17,equity_max_sharpe
2022-06-01,UPS,0.0,equity_max_sharpe
2022-07-01,UPS,1.273624911272321e-16,equity_max_sharpe
2022-08-01,UPS,4.331344831745096e-17,equity_max_sharpe
2022-09-01,UPS,0.0,equity_max_sharpe
2022-10-03,UPS,0.0,equity_max_sharpe
2022-11-01,UPS,4.0644257134296056e-17,equity_max_sharpe
2022-12-01,UPS,0.0,equity_max_sharpe
2023-01-03,UPS,1.624790168629534e-17,equity_max_sharpe
2023-02-01,UPS,0.0,equity_max_sharpe
2023-03-01,UPS,2.7576878671591482e-17,equity_max_sharpe
2023-04-03,UPS,0.0,equity_max_sharpe
2023-05-01,UPS,0.0,equity_max_sharpe
2023-06-01,UPS,2.724602576921875e-17,equity_max_sharpe
2023-07-03,UPS,0.0,equity_max_sharpe
2023-08-01,UPS,7.234555653204103e-19,equity_max_sharpe
2023-09-01,UPS,0.0,equity_max_sharpe
2023-10-02,UPS,9.331778388492284e-19,equity_max_sharpe
2023-11-01,UPS,0.0,equity_max_sharpe
2023-12-01,UPS,5.461981970520409e-17,equity_max_sharpe
2021-01-04,USB,0.0,equity_max_sharpe
2021-02-01,USB,4.2234784673184066e-17,equity_max_sharpe
2021-03-01,USB,8.316010155708848e-18,equity_max_sharpe
2021-04-01,USB,0.0,equity_max_sharpe
2021-05-03,USB,2.978493684628036e-17,equity_max_sharpe
2021-06-01,USB,0.0,equity_max_sharpe
2021-07-01,USB,7.457873784751931e-18,equity_max_sharpe
2021-08-02,USB,2.99361374032287e-17,equity_max_sharpe
2021-09-01,USB,1.7370111926493232e-16,equity_max_sharpe
2021-10-01,USB,0.0,equity_max_sharpe
2021-11-01,USB,0.0,equity_max_sharpe
2021-12-01,USB,0.0,equity_max_sharpe
2022-01-03,USB,2.0105838590888357e-17,equity_max_sharpe
2022-02-01,USB,1.3440667553962714e-16,equity_max_sharpe
2022-03-01,USB,2.5242849630820045e-17,equity_max_sharpe
2022-04-01,USB,1.4305143584188212e-17,equity_max_sharpe
2022-05-02,USB,0.0,equity_max_sharpe
2022-06-01,USB,0.0,equity_max_sharpe
2022-07-01,USB,2.1598674453978474e-17,equity_max_sharpe
2022-08-01,USB,8.018923597499283e-17,equity_max_sharpe
2022-09-01,USB,6.287556104740197e-17,equity_max_sharpe
2022-10-03,USB,0.0,equity_max_sharpe
2022-11-01,USB,4.3166869519642384e-17,equity_max_sharpe
2022-12-01,USB,1.1636980131002385e-16,equity_max_sharpe
2023-01-03,USB,2.0526695512257694e-16,equity_max_sharpe
2023-02-01,USB,0.0,equity_max_sharpe
2023-03-01,USB,3.0723525989809234e-17,equity_max_sharpe
2023-04-03,USB,0.0,equity_max_sharpe
2023-05-01,USB,0.0,equity_max_sharpe
2023-06-01,USB,0.0,equity_max_sharpe
2023-07-03,USB,4.3382401385234814e-18,equity_max_sharpe
2023-08-01,USB,2.4385013379766173e-18,equity_max_sharpe
2023-09-01,USB,5.230477559985202e-17,equity_max_sharpe
2023-10-02,USB,0.0,equity_max_sharpe
2023-11-01,USB,3.821420554142443e-17,equity_max_sharpe
2023-12-01,USB,0.0,equity_max_sharpe
2021-01-04,V,0.0,equity_max_sharpe
2021-02-01,V,0.0,equity_max_sharpe
2021-03-01,V,1.1023714855836445e-16,equity_max_sharpe
2021-04-01,V,0.0,equity_max_sharpe
2021-05-03,V,0.0,equity_max_sharpe
2021-06-01,V,0.0,equity_max_sharpe
2021-07-01,V,0.0,equity_max_sharpe
2021-08-02,V,0.0,equity_max_sharpe
2021-09-01,V,4.53322079028411e-17,equity_max_sharpe
2021-10-01,V,0.0,equity_max_sharpe
2021-11-01,V,8.475888396781998e-17,equity_max_sharpe
2021-12-01,V,4.112061050671835e-17,equity_max_sharpe
2022-01-03,V,0.0,equity_max_sharpe
2022-02-01,V,1.5028523073424374e-17,equity_max_sharpe
2022-03-01,V,0.0,equity_max_sharpe
