date,daily_return,fund
2021-08-13,0.0036498684572105057,combined_min_variance
2021-08-16,0.0020077049169773377,combined_min_variance
2021-08-17,-0.002464807963776433,combined_min_variance
2021-08-18,-0.012089406020497625,combined_min_variance
2021-08-19,-0.0006683067414666071,combined_min_variance
2021-08-20,0.005826610331935267,combined_min_variance
2021-08-23,0.005466916854218776,combined_min_variance
2021-08-24,-0.001267827934815128,combined_min_variance
2021-08-25,-0.000870528966470026,combined_min_variance
2021-08-26,-0.005797898740010282,combined_min_variance
2021-08-27,0.007768998813357131,combined_min_variance
2021-08-30,0.0013795882084960212,combined_min_variance
2021-08-31,0.0007368095258947024,combined_min_variance
2021-09-01,0.0004608945848949804,combined_min_variance
2021-09-02,0.005020085202323188,combined_min_variance
2021-09-03,-0.00213111160180424,combined_min_variance
2021-09-07,-0.011520673453563987,combined_min_variance
2021-09-08,0.0013022682354216371,combined_min_variance
2021-09-09,-0.00811116647751894,combined_min_variance
2021-09-10,-0.004464738774202896,combined_min_variance
2021-09-13,0.0017621187622055559,combined_min_variance
2021-09-14,-0.007806990901557828,combined_min_variance
2021-09-15,0.004996371880987203,combined_min_variance
2021-09-16,-0.004487616863979969,combined_min_variance
2021-09-17,-0.011076225451325982,combined_min_variance
2021-09-20,-0.014086642307501195,combined_min_variance
2021-09-21,-0.002518289770139535,combined_min_variance
2021-09-22,0.005385015582535152,combined_min_variance
2021-09-23,0.00754711560126246,combined_min_variance
2021-09-24,-0.0037326907746819986,combined_min_variance
2021-09-27,-0.0020731723626459175,combined_min_variance
2021-09-28,-0.011177736484528463,combined_min_variance
2021-09-29,0.005470554423099938,combined_min_variance
2021-09-30,-0.008943238621411703,combined_min_variance
2021-10-01,0.01012404305984544,combined_min_variance
2021-10-04,-0.003048235773674069,combined_min_variance
2021-10-05,0.004483842087722846,combined_min_variance
2021-10-06,0.003339968634624978,combined_min_variance
2021-10-07,0.007093274231466218,combined_min_variance
2021-10-08,-0.0031733862631692714,combined_min_variance
2021-10-11,-0.009101778728406396,combined_min_variance
2021-10-12,0.0001847561372760768,combined_min_variance
2021-10-13,0.004404891441644282,combined_min_variance
2021-10-14,0.013171332833200211,combined_min_variance
2021-10-15,0.0035196557486179133,combined_min_variance
2021-10-18,-0.0012435719790445839,combined_min_variance
2021-10-19,0.010513695505215087,combined_min_variance
2021-10-20,0.009617091289253442,combined_min_variance
2021-10-21,0.003146753333296874,combined_min_variance
2021-10-22,0.000969270279004237,combined_min_variance
2021-10-25,0.004378022189160982,combined_min_variance
2021-10-26,0.005054299487157075,combined_min_variance
2021-10-27,-0.013126221960204233,combined_min_variance
2021-10-28,0.007836604376136303,combined_min_variance
2021-10-29,-0.002761928744978855,combined_min_variance
2021-11-01,0.0054877362990261615,combined_min_variance
2021-11-02,0.005321906345770342,combined_min_variance
2021-11-03,0.005421667017027791,combined_min_variance
2021-11-04,0.004647893689598375,combined_min_variance
2021-11-05,0.0016111776384368048,combined_min_variance
2021-11-08,0.00186428733044294,combined_min_variance
2021-11-09,0.0003265245490213857,combined_min_variance
2021-11-10,-0.003766067881033391,combined_min_variance
2021-11-11,0.0005178229026164076,combined_min_variance
2021-11-12,0.002414809187503019,combined_min_variance
2021-11-15,-0.0015939595485741016,combined_min_variance
2021-11-16,-0.000328058317858725,combined_min_variance
2021-11-17,-0.004627379840642671,combined_min_variance
2021-11-18,-0.0017466424643725713,combined_min_variance
2021-11-19,-0.004923688456661248,combined_min_variance
2021-11-22,-0.0005807960476743414,combined_min_variance
2021-11-23,0.0055922440959036476,combined_min_variance
2021-11-24,0.001628072745576813,combined_min_variance
2021-11-26,-0.018192889165295566,combined_min_variance
2021-11-29,0.007481821716753034,combined_min_variance
2021-11-30,-0.02230906134626039,combined_min_variance
2021-12-01,-0.012634077357081212,combined_min_variance
2021-12-02,0.02079126831719906,combined_min_variance
2021-12-03,-0.0018001768871872981,combined_min_variance
2021-12-06,0.013894194772157652,combined_min_variance
2021-12-07,0.014160051502389567,combined_min_variance
2021-12-08,-0.00019963200149195325,combined_min_variance
2021-12-09,-0.007823713608451285,combined_min_variance
2021-12-10,0.004819813300404039,combined_min_variance
2021-12-13,-0.0067649375231727,combined_min_variance
2021-12-14,-0.0020218823962847724,combined_min_variance
2021-12-15,0.00990159114176541,combined_min_variance
2021-12-16,0.004330302275638312,combined_min_variance
2021-12-17,-0.012731232405468536,combined_min_variance
2021-12-20,-0.007511930704293342,combined_min_variance
2021-12-21,0.014322282724063471,combined_min_variance
2021-12-22,0.0057803253591854255,combined_min_variance
2021-12-23,0.005802018109207385,combined_min_variance
2021-12-27,0.01223756000373872,combined_min_variance
2021-12-28,0.0006120251389933298,combined_min_variance
2021-12-29,-2.9647669994178135e-05,combined_min_variance
2021-12-30,-0.000939405516424136,combined_min_variance
2021-12-31,-0.001497457610200416,combined_min_variance
2022-01-03,0.006521211801013973,combined_min_variance
2022-01-04,0.00715506302494739,combined_min_variance
2022-01-05,-0.010214191860775965,combined_min_variance
2022-01-06,-3.409265204012057e-05,combined_min_variance
2022-01-07,0.0007952320873439622,combined_min_variance
2022-01-10,-0.006582280631917181,combined_min_variance
2022-01-11,0.009507770615615922,combined_min_variance
2022-01-12,0.0032166014583554954,combined_min_variance
2022-01-13,-0.0051786904435754,combined_min_variance
2022-01-14,0.0013292509309208937,combined_min_variance
2022-01-18,-0.01044552417491703,combined_min_variance
2022-01-19,-0.006275798859735444,combined_min_variance
2022-01-20,-0.01171805374527322,combined_min_variance
2022-01-21,-0.01336855968073575,combined_min_variance
2022-01-24,0.0019400740963258136,combined_min_variance
2022-01-25,-0.0037772433000864488,combined_min_variance
2022-01-26,-0.009216188294077821,combined_min_variance
2022-01-27,-0.0032879265696330877,combined_min_variance
2022-01-28,0.01728297780936015,combined_min_variance
2022-01-31,0.01383125967692683,combined_min_variance
2022-02-01,0.010084753733501027,combined_min_variance
2022-02-02,0.009225287777140658,combined_min_variance
2022-02-03,-0.00906611084913362,combined_min_variance
2022-02-04,-5.430243133047611e-06,combined_min_variance
2022-02-07,0.0024719010058223616,combined_min_variance
2022-02-08,0.0038719196050129292,combined_min_variance
2022-02-09,0.012056547222912281,combined_min_variance
2022-02-10,-0.0172896152006583,combined_min_variance
2022-02-11,-0.010123255474071332,combined_min_variance
2022-02-14,-0.006059659576623678,combined_min_variance
2022-02-15,0.010292910695369518,combined_min_variance
2022-02-16,-0.0006916141594819869,combined_min_variance
2022-02-17,-0.015368289625123623,combined_min_variance
2022-02-18,-0.008254939183765814,combined_min_variance
2022-02-22,-0.005808370815243363,combined_min_variance
2022-02-23,-0.011356561340075247,combined_min_variance
2022-02-24,0.006412434758835047,combined_min_variance
2022-02-25,0.02555798063513029,combined_min_variance
2022-02-28,-0.001227674945057365,combined_min_variance
2022-03-01,-0.011747478308921633,combined_min_variance
2022-03-02,0.018788748626856415,combined_min_variance
2022-03-03,-0.0003491549106098906,combined_min_variance
2022-03-04,0.0012526068428501407,combined_min_variance
2022-03-07,-0.01670533380344199,combined_min_variance
2022-03-08,-0.004833158249060204,combined_min_variance
2022-03-09,0.014836710628297278,combined_min_variance
2022-03-10,-0.0014081226260775526,combined_min_variance
